user_key,SUM Service price,Count of bookings,Year,Count of business key
1000109,0,1,2020,1
1000325,0,1,2020,1
100039,0,1,2020,1
1000694,0,2,2020,1
1000805,0,1,2020,1
1001052,0,1,2020,1
1001154,0,2,2020,1
1001409,30,1,2020,1
10015947,0,1,2020,1
10016150,0,1,2020,1
10016164,0,1,2020,1
1001617,0,1,2020,1
10016189,0,1,2020,1
1002017,16,1,2020,1
1002327,0,1,2020,1
1002351,0,1,2020,1
1002454,0,1,2020,1
1002526,27,1,2020,1
1002654,0,1,2020,1
1002710,0,1,2020,1
100274,31,2,2018,2
1002742,0,1,2020,1
1002750,0,1,2020,1
1003061,0,1,2020,1
100338,19,1,2018,1
1003548,0,1,2020,1
10035683,0,1,2020,1
1003683,0,2,2020,1
1004186,0,4,2020,1
1004362,0,1,2020,1
1004806,0,2,2020,1
1004966,0,1,2020,1
10050775,0,1,2020,1
10050850,0,1,2020,1
100509,10,1,2018,1
1005500,0,1,2020,1
1005508,0,1,2020,1
1005587,0,1,2020,1
1005890,0,2,2020,1
1006201,15,1,2020,1
10062641,0,1,2020,1
10062652,18,1,2020,1
10062711,0,1,2020,1
10062735,0,1,2020,1
10062784,0,1,2020,1
10062804,0,1,2020,1
10062869,0,1,2020,1
10062878,0,1,2020,1
100640,15,1,2019,1
1006925,0,1,2020,1
1007131,0,1,2020,1
1007179,0,1,2020,1
1007370,0,1,2020,1
1007570,0,1,2020,1
10082,0,1,2020,1
10082082,0,1,2020,1
10082242,0,1,2020,1
1008473,0,1,2020,1
1008657,0,1,2020,1
1008825,0,1,2020,1
1009205,0,1,2020,1
1009301,0,1,2020,1
100979,10,1,2017,1
1009956,0,1,2020,1
1010052,0,2,2020,1
1010155,20,1,2020,1
10102431,0,1,2020,1
10102433,0,1,2020,1
10102457,35,1,2018,1
10102581,0,1,2020,1
10102624,0,1,2020,1
10102715,0,1,2020,1
1010283,0,1,2020,1
1010858,0,1,2020,1
1011066,0,1,2020,1
1011114,0,1,2020,1
1011544,0,1,2020,1
1011807,0,1,2020,1
10123186,0,1,2020,1
10123187,16,1,2020,1
10123313,0,1,2020,1
10123426,0,1,2020,1
1012890,0,1,2020,1
1012954,0,1,2020,1
1013106,0,2,2020,1
1013210,0,1,2020,1
101336,0,1,2018,1
1013957,0,1,2020,1
1014196,16,1,2020,1
1014204,0,1,2020,1
1014244,0,1,2020,1
1014418,0,1,2020,1
10144394,0,1,2020,1
10144458,0,1,2020,1
10144495,0,1,2020,1
10144528,0,1,2020,1
10144631,0,1,2020,1
10144647,0,1,2020,1
10144648,0,1,2020,1
1014575,0,2,2020,1
101481,30,4,2019,1
1014869,0,1,2020,1
1015058,0,2,2020,1
1015162,0,2,2020,2
1015857,0,1,2020,1
1015881,0,1,2020,1
1015889,0,2,2020,1
1016307,38,2,2020,1
10164082,0,2,2020,1
1016411,0,1,2020,1
10164209,0,1,2020,1
10164210,0,1,2020,1
10164223,0,1,2020,1
10164237,0,1,2020,1
10164250,0,1,2020,1
10164292,0,1,2020,1
1016651,0,1,2020,1
1016891,0,1,2020,1
1017041,0,1,2020,1
10178899,0,1,2020,1
10178978,0,1,2020,1
1018114,0,1,2020,1
1018755,0,1,2020,1
1018763,0,1,2020,1
1018795,0,1,2020,1
1018978,23,1,2020,1
1019018,0,1,2020,1
10190693,0,1,2020,1
10190798,0,2,2020,1
10190822,0,2,2020,1
10190834,0,1,2020,1
10190848,0,1,2020,1
1019457,0,3,2020,1
10209930,0,1,2020,1
10210067,0,1,2020,1
10210074,0,1,2020,1
1021014,0,1,2020,1
1021198,0,1,2020,1
102126,0,7,2020,5
1021358,0,2,2020,2
1021843,0,2,2020,2
102192,13,1,2019,1
10230625,0,1,2020,1
10230626,0,1,2020,1
1023063,0,2,2020,1
10230889,0,1,2020,1
1023199,0,1,2020,1
102353,14,1,2018,1
1023759,15,1,2020,1
1023862,0,1,2020,1
102390,42,2,2019,1
1024405,20,1,2020,1
1024605,0,1,2020,1
1024869,0,1,2020,1
10251629,0,1,2020,1
10251710,95,1,2020,1
10251720,0,1,2020,1
1025362,0,1,2020,1
102562,30,2,2019,2
1026127,0,1,2020,1
1026262,0,1,2020,1
1026325,0,1,2020,1
1026332,0,1,2020,1
1027275,0,2,2020,1
10272770,0,1,2020,1
10272827,0,2,2020,1
10272845,0,1,2020,1
10272952,0,1,2020,1
10272991,0,1,2020,1
1027307,0,1,2020,1
1027821,0,1,2020,1
1027925,0,1,2020,1
1027933,0,1,2020,1
102818,14,1,2017,1
1028253,0,1,2020,1
1028381,0,2,2020,1
1028525,0,2,2020,1
1028611,0,1,2020,1
1028691,0,1,2020,1
1028707,0,1,2020,1
1028994,0,1,2020,1
10292312,0,1,2020,1
10292355,0,1,2020,1
10292386,0,1,2020,1
1029287,0,2,2020,1
1029390,22,1,2020,1
1029558,0,1,2020,1
1030082,0,1,2020,1
1030582,0,1,2020,1
10307507,26,1,2020,1
10307549,0,3,2020,1
10307568,0,1,2020,1
1031511,0,1,2020,1
1031892,0,3,2020,1
1031932,0,1,2020,1
10319477,0,1,2020,1
1032107,0,1,2020,1
1032179,0,1,2020,1
1032371,0,1,2020,1
1032419,0,2,2020,2
103243,0,1,2020,1
1032451,0,1,2020,1
1032547,0,1,2020,1
1032595,0,1,2020,1
1032651,0,2,2020,1
1032851,0,1,2020,1
1032875,0,1,2020,1
1033129,0,1,2020,1
1033320,0,1,2020,1
10337730,0,1,2020,1
10337764,0,1,2020,1
10337827,0,1,2020,1
10337874,0,1,2020,1
10337918,0,2,2020,1
103433,23,3,2020,3
1034521,0,2,2020,1
103453,15,1,2018,1
103474,13,1,2017,1
103538,14,1,2017,1
1035461,0,1,2020,1
1035629,0,1,2020,1
10360130,0,1,2020,1
103603,0,3,2018,3
1036612,0,1,2020,1
1036659,0,1,2020,1
1037160,0,1,2020,1
1037630,18,1,2020,1
103773,12,1,2019,1
103815,0,1,2020,1
1038323,0,1,2020,1
10383478,0,1,2020,1
10383512,35,1,2019,1
10387629,0,1,2020,1
10387665,0,1,2020,1
1038944,0,2,2020,1
1038952,0,1,2020,1
1039390,0,2,2020,1
1039471,0,1,2020,1
103960,55,6,2019,2
1039607,0,2,2020,1
1040014,0,1,2020,1
10400227,0,1,2020,1
10400228,0,1,2020,1
1040094,0,1,2020,1
1040254,0,1,2020,1
10403023,0,1,2020,1
10403085,0,1,2020,1
10403144,0,1,2020,1
1040413,0,1,2020,1
1040509,28,1,2020,1
1040899,0,3,2020,2
1041027,0,1,2020,1
104111,15,1,2017,1
1041227,28,1,2020,1
104155,14,1,2017,1
10418215,0,1,2020,1
10418281,0,1,2020,1
1041865,0,1,2020,1
