user_key,Activity,created_utc
992,New user in system,'2015-02-08 14:51:15.000'
1132,New user in system,'2015-10-07 12:57:27.264'
1203,New user in system,'2015-10-26 17:04:24.190'
1223,New user in system,'2015-11-12 15:18:29.926'
1246,New user in system,'2015-11-13 13:30:18.100'
1286,New user in system,'2016-01-11 12:30:56.248'
1413,New user in system,'2016-02-03 22:17:16.531'
1535,New user in system,'2016-06-13 10:46:29.215'
2134,New user in system,'2016-09-22 11:19:29.479'
2157,New user in system,'2016-09-22 13:28:56.732'
2178,New user in system,'2016-09-22 14:07:53.177'
2178,Create Booking,'2019-08-19 10:44:20.823'
2256,New user in system,'2016-09-22 15:35:21.257'
2272,New user in system,'2016-09-22 18:40:00.164'
2293,New user in system,'2016-09-22 19:00:48.058'
2315,New user in system,'2016-09-22 22:30:56.626'
2337,New user in system,'2016-09-22 23:51:09.889'
2359,New user in system,'2016-09-23 01:24:57.780'
2381,New user in system,'2016-09-23 09:14:38.051'
2403,New user in system,'2016-09-23 10:59:36.629'
2425,New user in system,'2016-09-23 17:44:29.581'
2425,Create Booking,'2018-05-02 11:35:49.026'
2449,New user in system,'2016-09-23 18:13:59.892'
2474,New user in system,'2016-09-23 21:20:58.443'
2474,Create Booking,'2020-07-06 11:20:57.294'
2474,Create Booking,'2020-10-02 17:00:02.427'
2496,New user in system,'2016-09-23 22:24:58.325'
2517,New user in system,'2016-09-23 22:29:31.719'
2538,New user in system,'2016-09-24 13:51:55.933'
2559,New user in system,'2016-09-24 17:48:28.261'
2559,Create Booking,'2020-07-21 17:06:17.113'
2580,New user in system,'2016-09-24 18:54:52.292'
2598,New user in system,'2016-09-24 20:14:57.037'
2617,New user in system,'2016-09-25 11:05:48.169'
2638,New user in system,'2016-09-25 12:30:00.300'
2660,New user in system,'2016-09-25 12:40:21.411'
2679,New user in system,'2016-09-25 19:30:05.871'
2700,New user in system,'2016-09-26 18:25:43.238'
2719,New user in system,'2016-09-26 18:40:10.536'
2760,New user in system,'2016-09-27 19:16:00.309'
2780,New user in system,'2016-09-28 08:41:28.836'
